#                                      |     R-    |     bits
#                                      |     scape | ------------
# idx  name         nseq    avlen  %id | nbp nsig  |   HMM CM-HMM
# ---- ---------   -----   ------  ----| --- ----  | ----- ------
1      RF00028        12     364.8  34 |  61    8  |  62.6  41.7
2      IA1            76     583.6  45 |  82   51  | 166.5  38.0
3      IA2            15     276.8  38 |  67   24  |  58.0  47.5
4      IA3            56     282.3  46 |  81   50  | 122.4  39.1
5      IB1            42     298.0  72 |  87    9  | 320.4  51.8
6      IB2            18     242.2  39 |  65   27  |  57.1  39.3
7      IB3             7     277.7  52 |  72   10  |  98.5  60.3
8      IB4            89     282.3  44 |  72   43  | 108.3  33.2
9      IC1           837     436.0  39 | 103   84  | 130.3  40.3
10     IC2            32     320.2  66 |  86   27  | 298.1  51.7
11     IC3           328     255.8  67 |  58   16  | 244.1  13.2
12     ID             17     242.5  53 |  66   16  | 122.8  45.5
13     IE1            38     362.2  60 |  95   19  | 268.0  44.8
14     IE2            56     399.9  55 | 112   38  | 250.9  47.4
15     IE3           110     405.9  57 | 119   51  | 293.4  45.7
